Target Distance: 50, Step Size: 2
81: (x,y) = (6.65728, -8.44139)
82: (x,y) = (6.44822, -6.45235)
83: (x,y) = (4.75213, -5.39251)
84: (x,y) = (3.19784, -4.13387)
85: (x,y) = (1.34347, -3.38466)
86: (x,y) = (0.996172, -5.35427)
87: (x,y) = (2.85054, -6.10348)
88: (x,y) = (4.10918, -4.54919)
89: (x,y) = (5.84123, -3.54919)
90: (x,y) = (4.96449, -1.7516)
91: (x,y) = (3.36722, -0.547974)
92: (x,y) = (5.34259, -0.235105)
93: (x,y) = (3.90392, 1.15421)
94: (x,y) = (5.10755, -0.443059)
95: (x,y) = (3.29493, 0.402177)
96: (x,y) = (2.74365, 2.3247)
97: (x,y) = (0.768278, 2.63757)
98: (x,y) = (-1.21681, 2.39383)
99: (x,y) = (-0.800991, 0.437536)
100: (x,y) = (0.79628, -0.766094)
101: (x,y) = (1.70426, -2.54811)
102: (x,y) = (0.644423, -4.2442)
103: (x,y) = (2.63681, -4.06989)
104: (x,y) = (4.59311, -4.48572)
105: (x,y) = (3.65416, -2.71982)
106: (x,y) = (4.88549, -1.1438)
107: (x,y) = (4.23435, -3.03484)
108: (x,y) = (2.32174, -3.61958)
109: (x,y) = (0.589691, -2.61958)
110: (x,y) = (-1.3666, -2.20376)
111: (x,y) = (0.535508, -1.58572)
112: (x,y) = (1.59535, 0.110374)
113: (x,y) = (0.156667, 1.49969)
114: (x,y) = (-1.79207, 1.94959)
115: (x,y) = (-1.14094, 3.84063)
116: (x,y) = (-0.327463, 2.01354)
117: (x,y) = (0.453999, 3.85455)
118: (x,y) = (1.76612, 5.36397)
119: (x,y) = (3.69797, 4.84633)
120: (x,y) = (3.45423, 6.83142)
121: (x,y) = (5.0515, 8.03505)
122: (x,y) = (3.82018, 9.61107)
123: (x,y) = (3.2689, 11.5336)
124: (x,y) = (4.68312, 12.9478)
125: (x,y) = (5.20076, 14.8797)
126: (x,y) = (3.83676, 16.3424)
127: (x,y) = (2.08752, 17.312)
128: (x,y) = (1.30606, 15.471)
129: (x,y) = (-0.642683, 15.0211)
130: (x,y) = (-0.05794, 16.9337)
131: (x,y) = (0.220406, 18.9142)
132: (x,y) = (-1.06517, 20.4463)
133: (x,y) = (-3.0603, 20.3068)
134: (x,y) = (-2.95563, 22.3041)
135: (x,y) = (-3.89457, 24.07)
136: (x,y) = (-5.88361, 24.279)
137: (x,y) = (-7.39303, 25.5911)
138: (x,y) = (-8.33197, 23.8252)
139: (x,y) = (-6.36872, 24.2069)
140: (x,y) = (-8.25976, 24.858)
141: (x,y) = (-6.97418, 26.3901)
142: (x,y) = (-5.24213, 27.3901)
143: (x,y) = (-6.79642, 26.1314)
144: (x,y) = (-8.78547, 25.9224)
145: (x,y) = (-10.6981, 25.3376)
146: (x,y) = (-12.6002, 25.9557)
147: (x,y) = (-13.6002, 27.6877)
148: (x,y) = (-15.0389, 29.077)
149: (x,y) = (-16.735, 28.0172)
150: (x,y) = (-14.894, 27.2357)
151: (x,y) = (-16.0695, 25.6177)
152: (x,y) = (-17.0996, 27.332)
153: (x,y) = (-17.6172, 29.2639)
154: (x,y) = (-19.3133, 28.204)
155: (x,y) = (-17.759, 29.4627)
156: (x,y) = (-19.7587, 29.4278)
157: (x,y) = (-17.8181, 28.9439)
158: (x,y) = (-19.7878, 28.5966)
159: (x,y) = (-18.7878, 26.8646)
160: (x,y) = (-20.7875, 26.8995)
161: (x,y) = (-22.2261, 28.2888)
162: (x,y) = (-22.7774, 26.3663)
163: (x,y) = (-24.7771, 26.3314)
164: (x,y) = (-26.7334, 25.9156)
165: (x,y) = (-28.3915, 24.7972)
166: (x,y) = (-27.3915, 23.0651)
167: (x,y) = (-25.4024, 23.2742)
168: (x,y) = (-26.8166, 21.86)
169: (x,y) = (-25.6411, 23.478)
170: (x,y) = (-23.7285, 24.0627)
171: (x,y) = (-21.9465, 24.9707)
172: (x,y) = (-22.4303, 26.9113)
173: (x,y) = (-22.1174, 24.9359)
174: (x,y) = (-23.0564, 26.7018)
175: (x,y) = (-24.9585, 27.3199)
176: (x,y) = (-23.0022, 26.9041)
177: (x,y) = (-22.6206, 24.9408)
178: (x,y) = (-24.4182, 25.8175)
179: (x,y) = (-25.5653, 27.4558)
180: (x,y) = (-23.5729, 27.6302)
181: (x,y) = (-24.885, 29.1396)
182: (x,y) = (-26.1437, 27.5853)
183: (x,y) = (-24.1449, 27.5155)
184: (x,y) = (-25.2633, 25.8574)
185: (x,y) = (-25.0195, 27.8425)
186: (x,y) = (-23.4223, 29.0461)
187: (x,y) = (-22.7711, 27.1551)
188: (x,y) = (-22.0544, 29.0223)
189: (x,y) = (-22.4017, 30.9919)
190: (x,y) = (-22.7833, 32.9551)
191: (x,y) = (-23.7833, 34.6872)
192: (x,y) = (-24.9017, 33.0291)
193: (x,y) = (-26.24, 31.5428)
194: (x,y) = (-25.1801, 29.8467)
195: (x,y) = (-24.1801, 28.1147)
196: (x,y) = (-23.9018, 30.0952)
197: (x,y) = (-24.7153, 31.9223)
198: (x,y) = (-23.5397, 30.3043)
199: (x,y) = (-22.3361, 28.707)
200: (x,y) = (-24.2924, 29.1228)
201: (x,y) = (-26.2242, 28.6052)
202: (x,y) = (-28.0218, 27.7284)
203: (x,y) = (-29.6398, 28.904)
204: (x,y) = (-30.4851, 30.7166)
205: (x,y) = (-28.8468, 29.5695)
206: (x,y) = (-27.6712, 27.9514)
207: (x,y) = (-25.8586, 27.1062)
208: (x,y) = (-26.7975, 28.8721)
209: (x,y) = (-27.1448, 30.8417)
210: (x,y) = (-27.4921, 32.8113)
211: (x,y) = (-25.4997, 32.637)
212: (x,y) = (-25.9496, 34.5857)
213: (x,y) = (-27.7906, 33.8043)
214: (x,y) = (-25.8055, 33.5605)
215: (x,y) = (-27.5199, 32.5305)
216: (x,y) = (-26.9351, 30.6179)
217: (x,y) = (-25.2208, 31.6479)
218: (x,y) = (-26.7751, 32.9066)
219: (x,y) = (-28.1133, 31.4203)
220: (x,y) = (-29.4255, 32.9297)
221: (x,y) = (-30.2389, 34.7568)
222: (x,y) = (-28.2757, 34.3752)
223: (x,y) = (-29.3058, 32.6608)
224: (x,y) = (-27.4036, 32.0428)
225: (x,y) = (-29.3163, 32.6276)
226: (x,y) = (-31.316, 32.6625)
227: (x,y) = (-30.4392, 30.8649)
228: (x,y) = (-30.1955, 28.8798)
229: (x,y) = (-28.1982, 28.7751)
230: (x,y) = (-29.075, 26.9775)
231: (x,y) = (-28.9006, 28.9699)
232: (x,y) = (-30.8569, 28.5541)
233: (x,y) = (-29.2809, 27.3228)
234: (x,y) = (-30.593, 25.8133)
235: (x,y) = (-32.5927, 25.8482)
236: (x,y) = (-34.4599, 26.565)
237: (x,y) = (-33.0959, 28.0277)
238: (x,y) = (-34.9085, 28.8729)
239: (x,y) = (-34.6648, 26.8878)
240: (x,y) = (-32.7737, 27.539)
241: (x,y) = (-33.9774, 29.1362)
242: (x,y) = (-33.9076, 27.1375)
243: (x,y) = (-34.9674, 28.8336)
244: (x,y) = (-33.2182, 27.8639)
245: (x,y) = (-34.7045, 29.2022)
246: (x,y) = (-32.9224, 28.2942)
247: (x,y) = (-33.3383, 26.3379)
248: (x,y) = (-35.3015, 26.7195)
249: (x,y) = (-33.3609, 26.2357)
250: (x,y) = (-31.3621, 26.1659)
251: (x,y) = (-33.3427, 26.4442)
252: (x,y) = (-33.7243, 28.4075)
253: (x,y) = (-35.2786, 27.1489)
254: (x,y) = (-34.8287, 25.2001)
255: (x,y) = (-33.4145, 23.7859)
256: (x,y) = (-31.5601, 24.5351)
257: (x,y) = (-31.9759, 26.4914)
258: (x,y) = (-32.594, 24.5893)
259: (x,y) = (-31.6243, 22.8401)
260: (x,y) = (-31.9372, 24.8154)
261: (x,y) = (-29.9567, 25.0938)
262: (x,y) = (-30.4405, 23.1532)
263: (x,y) = (-32.3531, 23.7379)
264: (x,y) = (-30.6211, 22.7379)
265: (x,y) = (-28.6238, 22.6333)
266: (x,y) = (-26.7112, 22.0485)
267: (x,y) = (-27.9968, 23.5806)
268: (x,y) = (-26.5581, 24.9699)
269: (x,y) = (-28.0444, 26.3082)
270: (x,y) = (-27.7315, 24.3328)
271: (x,y) = (-26.8235, 26.1148)
272: (x,y) = (-26.9979, 24.1224)
273: (x,y) = (-26.1211, 25.92)
274: (x,y) = (-25.0318, 27.5974)
275: (x,y) = (-25.6499, 29.4995)
276: (x,y) = (-27.5042, 28.7503)
277: (x,y) = (-25.7899, 29.7803)
278: (x,y) = (-26.8497, 28.0842)
279: (x,y) = (-27.7577, 26.3022)
280: (x,y) = (-28.4745, 24.4351)
281: (x,y) = (-29.5637, 22.7577)
282: (x,y) = (-28.979, 20.8451)
283: (x,y) = (-27.0094, 20.4978)
284: (x,y) = (-27.2184, 22.4869)
285: (x,y) = (-28.9505, 21.4869)
286: (x,y) = (-30.9493, 21.5567)
287: (x,y) = (-31.9189, 23.3059)
288: (x,y) = (-33.914, 23.1664)
289: (x,y) = (-32.8542, 21.4703)
290: (x,y) = (-32.1701, 19.5909)
291: (x,y) = (-31.7202, 17.6422)
292: (x,y) = (-30.4347, 16.1101)
293: (x,y) = (-29.4046, 17.8244)
294: (x,y) = (-27.9183, 16.4862)
295: (x,y) = (-29.6842, 17.4251)
296: (x,y) = (-29.0662, 15.523)
297: (x,y) = (-28.0361, 13.8086)
298: (x,y) = (-29.8337, 14.6854)
299: (x,y) = (-28.0517, 13.7774)
300: (x,y) = (-26.7395, 12.268)
301: (x,y) = (-26.1883, 14.1905)
302: (x,y) = (-26.2581, 12.1917)
303: (x,y) = (-26.2232, 14.1914)
304: (x,y) = (-24.2535, 14.5387)
305: (x,y) = (-26.1557, 13.9207)
306: (x,y) = (-28.0683, 13.3359)
307: (x,y) = (-29.7644, 12.2761)
308: (x,y) = (-30.146, 14.2394)
309: (x,y) = (-29.6621, 16.18)
310: (x,y) = (-27.9848, 15.0907)
311: (x,y) = (-26.0152, 14.7434)
312: (x,y) = (-24.6512, 13.2807)
313: (x,y) = (-25.2025, 11.3581)
314: (x,y) = (-26.8798, 10.2689)
315: (x,y) = (-26.4982, 8.30561)
316: (x,y) = (-24.6711, 7.49214)
317: (x,y) = (-22.9568, 8.52222)
318: (x,y) = (-22.887, 6.52344)
319: (x,y) = (-24.7663, 7.20748)
320: (x,y) = (-22.9843, 6.2995)
321: (x,y) = (-24.8253, 5.51803)
322: (x,y) = (-23.4111, 4.10382)
323: (x,y) = (-25.2237, 4.94906)
324: (x,y) = (-26.6131, 6.38774)
325: (x,y) = (-26.5084, 4.39048)
326: (x,y) = (-25.3048, 2.79321)
327: (x,y) = (-24.3658, 4.5591)
328: (x,y) = (-26.0041, 3.41195)
329: (x,y) = (-26.4199, 5.36824)
330: (x,y) = (-26.5246, 3.37098)
331: (x,y) = (-28.4652, 3.85483)
332: (x,y) = (-27.1269, 5.34112)
333: (x,y) = (-25.7887, 6.82741)
334: (x,y) = (-26.3063, 4.89556)
335: (x,y) = (-25.6223, 3.01617)
336: (x,y) = (-26.4357, 1.18908)
337: (x,y) = (-24.7974, 0.0419263)
338: (x,y) = (-26.3735, 1.27325)
339: (x,y) = (-27.9278, 0.0146084)
340: (x,y) = (-27.8231, -1.98265)
341: (x,y) = (-25.932, -2.63379)
342: (x,y) = (-27.6813, -3.60341)
343: (x,y) = (-29.0706, -5.04209)
344: (x,y) = (-30.2178, -6.68039)
345: (x,y) = (-29.2788, -4.91449)
346: (x,y) = (-27.3878, -4.26336)
347: (x,y) = (-29.1021, -5.29343)
348: (x,y) = (-29.2068, -3.29618)
349: (x,y) = (-28.4576, -5.15054)
350: (x,y) = (-29.3656, -6.93256)
351: (x,y) = (-28.4266, -8.69845)
352: (x,y) = (-26.4415, -8.45471)
353: (x,y) = (-28.3436, -9.07275)
354: (x,y) = (-28.4483, -7.07549)
355: (x,y) = (-30.0026, -5.81685)
356: (x,y) = (-30.7193, -3.94969)
357: (x,y) = (-30.6147, -5.94695)
358: (x,y) = (-30.097, -4.01509)
359: (x,y) = (-28.4389, -5.13348)
360: (x,y) = (-29.2204, -6.97449)
361: (x,y) = (-30.8587, -8.12164)
362: (x,y) = (-28.8663, -7.94733)
363: (x,y) = (-28.0211, -9.75995)
364: (x,y) = (-28.2648, -11.745)
365: (x,y) = (-29.6031, -10.2587)
366: (x,y) = (-31.0173, -11.673)
367: (x,y) = (-29.1501, -10.9562)
368: (x,y) = (-29.3939, -8.97113)
369: (x,y) = (-30.424, -10.6855)
370: (x,y) = (-31.424, -12.4175)
371: (x,y) = (-29.4543, -12.0702)
372: (x,y) = (-29.5241, -10.0714)
373: (x,y) = (-29.4892, -8.07175)
374: (x,y) = (-30.1073, -6.16963)
375: (x,y) = (-31.9983, -6.82077)
376: (x,y) = (-30.1712, -6.0073)
377: (x,y) = (-31.4025, -4.43127)
378: (x,y) = (-30.117, -2.89919)
379: (x,y) = (-28.1537, -3.2808)
380: (x,y) = (-27.4045, -5.13517)
381: (x,y) = (-29.3363, -4.61753)
382: (x,y) = (-28.7183, -6.51965)
383: (x,y) = (-27.7487, -8.26889)
384: (x,y) = (-25.7514, -8.16421)
385: (x,y) = (-23.8843, -7.44748)
386: (x,y) = (-22.546, -8.93377)
387: (x,y) = (-23.3595, -7.10668)
388: (x,y) = (-25.3001, -6.62283)
389: (x,y) = (-23.5181, -5.71485)
390: (x,y) = (-22.1541, -7.17756)
391: (x,y) = (-20.9504, -5.58029)
392: (x,y) = (-21.8894, -7.34618)
393: (x,y) = (-20.4031, -8.68444)
394: (x,y) = (-21.9352, -9.97002)
395: (x,y) = (-20.0226, -9.38528)
396: (x,y) = (-20.0226, -7.38528)
397: (x,y) = (-19.8483, -5.39289)
398: (x,y) = (-18.2722, -4.16156)
399: (x,y) = (-17.2722, -2.42951)
400: (x,y) = (-19.1948, -2.98079)
401: (x,y) = (-20.9268, -1.98079)
402: (x,y) = (-19.867, -3.67688)
403: (x,y) = (-19.2489, -5.579)
404: (x,y) = (-19.9981, -3.72463)
405: (x,y) = (-19.5482, -5.67337)
406: (x,y) = (-20.7519, -4.0761)
407: (x,y) = (-22.1906, -2.68678)
408: (x,y) = (-21.7407, -4.63552)
409: (x,y) = (-20.4285, -3.1261)
410: (x,y) = (-21.5757, -1.4878)
411: (x,y) = (-23.214, -2.63495)
412: (x,y) = (-24.8721, -3.75334)
413: (x,y) = (-23.6684, -2.15607)
414: (x,y) = (-21.8709, -1.27932)
415: (x,y) = (-21.8359, 0.720371)
416: (x,y) = (-20.6323, -0.8769)
417: (x,y) = (-18.7779, -1.62611)
418: (x,y) = (-20.605, -2.43959)
419: (x,y) = (-21.3865, -0.598576)
420: (x,y) = (-22.4758, -2.27592)
421: (x,y) = (-24.3168, -1.49446)
422: (x,y) = (-22.7625, -0.235814)
423: (x,y) = (-23.7625, 1.49624)
424: (x,y) = (-24.6077, 3.30885)
425: (x,y) = (-24.9894, 1.3456)
426: (x,y) = (-23.014, 1.65847)
427: (x,y) = (-22.5641, 3.60721)
428: (x,y) = (-24.1613, 2.40358)
429: (x,y) = (-22.8231, 3.88987)
430: (x,y) = (-20.8477, 4.20274)
431: (x,y) = (-19.6441, 5.80001)
432: (x,y) = (-18.96, 7.67939)
433: (x,y) = (-17.6218, 6.1931)
434: (x,y) = (-19.2798, 5.07472)
435: (x,y) = (-21.2786, 5.00492)
436: (x,y) = (-21.8634, 6.91753)
437: (x,y) = (-23.5407, 5.82825)
438: (x,y) = (-22.0544, 4.48999)
439: (x,y) = (-20.3224, 5.48999)
440: (x,y) = (-21.7366, 6.9042)
441: (x,y) = (-20.2979, 5.51488)
442: (x,y) = (-21.1431, 3.70227)
443: (x,y) = (-19.1799, 3.32065)
444: (x,y) = (-20.1495, 1.57141)
445: (x,y) = (-20.1146, -0.428284)
446: (x,y) = (-19.733, 1.53497)
447: (x,y) = (-21.7135, 1.25662)
448: (x,y) = (-22.7436, 2.97096)
449: (x,y) = (-24.5562, 3.81619)
450: (x,y) = (-26.5453, 4.02525)
451: (x,y) = (-24.5465, 3.95545)
452: (x,y) = (-23.2082, 2.46916)
453: (x,y) = (-24.8856, 1.37989)
454: (x,y) = (-22.9159, 1.03259)
455: (x,y) = (-21.9463, -0.716651)
456: (x,y) = (-22.6955, 1.13772)
457: (x,y) = (-20.6955, 1.13772)
458: (x,y) = (-21.4447, -0.716651)
459: (x,y) = (-23.3119, -1.43339)
460: (x,y) = (-22.9646, -3.403)
461: (x,y) = (-23.3804, -5.3593)
462: (x,y) = (-23.8981, -7.29115)
463: (x,y) = (-21.9285, -7.63845)
464: (x,y) = (-21.6501, -5.65791)
465: (x,y) = (-19.7591, -6.30905)
466: (x,y) = (-21.7442, -6.06531)
467: (x,y) = (-23.7195, -6.37818)
468: (x,y) = (-25.6601, -6.86202)
469: (x,y) = (-23.6629, -6.75735)
470: (x,y) = (-23.6978, -4.75765)
471: (x,y) = (-21.9834, -5.78773)
472: (x,y) = (-23.9467, -6.16935)
473: (x,y) = (-22.1196, -6.98282)
474: (x,y) = (-24.0829, -7.36444)
475: (x,y) = (-23.4981, -5.45183)
476: (x,y) = (-24.4677, -3.70259)
477: (x,y) = (-26.0438, -2.47127)
478: (x,y) = (-27.4078, -1.00856)
479: (x,y) = (-28.157, 0.845809)
480: (x,y) = (-30.1202, 1.22743)
481: (x,y) = (-28.9166, -0.369844)
482: (x,y) = (-29.6006, 1.50954)
483: (x,y) = (-27.6155, 1.2658)
484: (x,y) = (-25.9194, 2.32564)
485: (x,y) = (-26.3011, 4.2889)
486: (x,y) = (-28.2236, 4.84017)
487: (x,y) = (-26.311, 5.42491)
488: (x,y) = (-26.6926, 7.38817)
489: (x,y) = (-25.4613, 8.96419)
490: (x,y) = (-27.0373, 7.73287)
491: (x,y) = (-25.1701, 8.4496)
492: (x,y) = (-27.1689, 8.3798)
493: (x,y) = (-25.2371, 7.86217)
494: (x,y) = (-26.145, 6.08015)
495: (x,y) = (-26.3541, 4.09111)
496: (x,y) = (-28.2562, 3.47307)
497: (x,y) = (-27.6382, 1.57096)
498: (x,y) = (-25.9999, 0.423809)
499: (x,y) = (-24.3225, 1.51309)
500: (x,y) = (-26.2451, 2.06436)
501: (x,y) = (-25.1267, 3.72244)
502: (x,y) = (-26.3022, 2.1044)
503: (x,y) = (-24.3099, 1.93009)
504: (x,y) = (-24.5189, -0.0589524)
505: (x,y) = (-23.6109, -1.84097)
506: (x,y) = (-22.8617, 0.0134023)
507: (x,y) = (-23.3794, -1.91845)
508: (x,y) = (-22.0672, -3.42787)
509: (x,y) = (-23.9216, -4.17708)
510: (x,y) = (-21.9365, -3.93334)
511: (x,y) = (-22.9365, -2.20129)
512: (x,y) = (-21.0694, -1.48456)
513: (x,y) = (-22.0083, 0.281339)
514: (x,y) = (-22.7898, 2.12235)
515: (x,y) = (-22.2385, 0.199825)
516: (x,y) = (-22.2734, 2.19952)
517: (x,y) = (-22.0297, 0.214428)
518: (x,y) = (-20.9404, -1.46291)
519: (x,y) = (-22.8967, -1.87874)
520: (x,y) = (-24.751, -2.62795)
521: (x,y) = (-23.0737, -1.53867)
522: (x,y) = (-22.8994, 0.453718)
523: (x,y) = (-21.0723, 1.26719)
524: (x,y) = (-21.7234, -0.623846)
525: (x,y) = (-20.0273, -1.68368)
526: (x,y) = (-21.9184, -1.03255)
527: (x,y) = (-21.8835, 0.967147)
528: (x,y) = (-22.3334, -0.981593)
529: (x,y) = (-20.3346, -1.05139)
530: (x,y) = (-18.3455, -1.26045)
531: (x,y) = (-17.3759, 0.488791)
532: (x,y) = (-16.7912, -1.42382)
533: (x,y) = (-17.1728, 0.539436)
534: (x,y) = (-16.5548, -1.36268)
535: (x,y) = (-18.518, -1.7443)
536: (x,y) = (-16.942, -0.512973)
537: (x,y) = (-14.9447, -0.617644)
538: (x,y) = (-13.4353, -1.92976)
539: (x,y) = (-14.9216, -3.26802)
540: (x,y) = (-14.2705, -1.37699)
541: (x,y) = (-12.6124, -2.49537)
542: (x,y) = (-10.7103, -3.11341)
543: (x,y) = (-10.7801, -1.11462)
544: (x,y) = (-9.3414, -2.50394)
545: (x,y) = (-7.64531, -3.56378)
546: (x,y) = (-8.32935, -5.44317)
547: (x,y) = (-6.96535, -3.98046)
548: (x,y) = (-7.87333, -2.19844)
549: (x,y) = (-7.02809, -0.385829)
550: (x,y) = (-7.74483, 1.48133)
551: (x,y) = (-6.23541, 0.169214)
552: (x,y) = (-6.54828, 2.14459)
553: (x,y) = (-8.4708, 1.59332)
554: (x,y) = (-10.0888, 0.417745)
555: (x,y) = (-11.5751, -0.920516)
556: (x,y) = (-9.97786, 0.283114)
557: (x,y) = (-8.06525, 0.867857)
558: (x,y) = (-6.75313, -0.641562)
559: (x,y) = (-5.93965, -2.46865)
560: (x,y) = (-6.72112, -4.30966)
561: (x,y) = (-8.7199, -4.23986)
562: (x,y) = (-10.0839, -5.70257)
563: (x,y) = (-12.0729, -5.49351)
564: (x,y) = (-11.7601, -7.46889)
565: (x,y) = (-13.5727, -6.62365)
566: (x,y) = (-14.6325, -8.31975)
567: (x,y) = (-16.6079, -8.63262)
568: (x,y) = (-14.7808, -7.81915)
569: (x,y) = (-16.6934, -8.40389)
570: (x,y) = (-15.4348, -6.8496)
571: (x,y) = (-15.6091, -4.85721)
572: (x,y) = (-13.9708, -3.71006)
573: (x,y) = (-14.1103, -5.70518)
574: (x,y) = (-13.1103, -3.97313)
575: (x,y) = (-14.549, -5.36245)
576: (x,y) = (-15.7245, -6.98048)
577: (x,y) = (-14.439, -8.51257)
578: (x,y) = (-14.4041, -10.5123)
579: (x,y) = (-12.4287, -10.8251)
580: (x,y) = (-10.5062, -10.2739)
581: (x,y) = (-11.0238, -12.2057)
582: (x,y) = (-13.0211, -12.3104)
583: (x,y) = (-11.0723, -12.7603)
584: (x,y) = (-11.1072, -10.7606)
585: (x,y) = (-9.55294, -9.50195)
586: (x,y) = (-11.3022, -10.4716)
587: (x,y) = (-12.5335, -8.89555)
588: (x,y) = (-11.9155, -10.7977)
589: (x,y) = (-10.2194, -9.73782)
590: (x,y) = (-9.4059, -11.5649)
591: (x,y) = (-11.3983, -11.3906)
592: (x,y) = (-13.1303, -12.3906)
593: (x,y) = (-11.453, -11.3013)
594: (x,y) = (-12.9393, -12.6396)
595: (x,y) = (-14.1979, -11.0853)
596: (x,y) = (-16.1733, -11.3982)
597: (x,y) = (-16.5206, -9.42855)
598: (x,y) = (-15.0112, -10.7407)
599: (x,y) = (-14.8369, -8.74828)
600: (x,y) = (-16.8001, -8.36666)
601: (x,y) = (-17.7391, -10.1326)
602: (x,y) = (-19.7388, -10.1675)
603: (x,y) = (-19.2549, -8.22687)
604: (x,y) = (-20.951, -7.16703)
605: (x,y) = (-21.7325, -5.32602)
606: (x,y) = (-20.7325, -7.05807)
607: (x,y) = (-18.8781, -6.30886)
608: (x,y) = (-17.9701, -4.52684)
609: (x,y) = (-17.7611, -2.5378)
610: (x,y) = (-18.5745, -4.36489)
611: (x,y) = (-17.2624, -5.87431)
612: (x,y) = (-15.3953, -6.59105)
613: (x,y) = (-14.6785, -4.72388)
614: (x,y) = (-13.7396, -6.48978)
615: (x,y) = (-13.0555, -4.61039)
616: (x,y) = (-11.1762, -5.29443)
617: (x,y) = (-9.28512, -4.6433)
618: (x,y) = (-8.63399, -2.75226)
619: (x,y) = (-8.70379, -4.75104)
620: (x,y) = (-7.47246, -3.17502)
621: (x,y) = (-8.56174, -4.85236)
622: (x,y) = (-7.14753, -6.26658)
623: (x,y) = (-7.42587, -8.24711)
624: (x,y) = (-9.02315, -7.04348)
625: (x,y) = (-7.71103, -5.53406)
626: (x,y) = (-7.92008, -7.52311)
627: (x,y) = (-9.74718, -8.33658)
628: (x,y) = (-7.88001, -7.61984)
629: (x,y) = (-8.05433, -5.62745)
630: (x,y) = (-7.40319, -7.51849)
631: (x,y) = (-9.37281, -7.86579)
632: (x,y) = (-7.5318, -8.64725)
633: (x,y) = (-8.21584, -6.76787)
634: (x,y) = (-9.72526, -5.45575)
635: (x,y) = (-10.9008, -3.83771)
636: (x,y) = (-11.0751, -1.84532)
637: (x,y) = (-10.6935, 0.117931)
638: (x,y) = (-8.81413, 0.801971)
639: (x,y) = (-10.6813, 1.51871)
640: (x,y) = (-12.5939, 2.10345)
641: (x,y) = (-12.7334, 0.108322)
642: (x,y) = (-13.4175, 1.98771)
